Ticker,MarketCap,PE,Revenue,NetIncome,TotalAssets,TotalDebt,Symbol,Sector,ProfitMargin,ROA,DebtRatio,EarningsYield,LogMarketCap,SizeGroup,PM_z,ROA_z,Debt_z,FinancialStrengthScore
RVTY,10505040896,45.611652,2856051000.0,241201000.0,12168411000.0,3398207000.0,RVTY,Health Care,0.0844526235700973,0.019821897863246,0.2792646467973509,0.0219242223456409,23.07512106423913,Smaller,-0.5574919532599165,-0.7565527771813741,-0.19144980276581777,-1.1225949276754728
Q,28574410752,41.3,4754000000.0,692000000.0,14070000000.0,4027000000.0,Q,Information Technology,0.1455616323096339,0.049182658137882,0.2862117981520967,0.0242130750605326,24.075777425312307,Smaller,-0.11914366493955635,-0.31334715990029754,-0.15095574686438978,-0.2815350779754641
V,611227074560,29.767136,40000000000.0,20058000000.0,99627000000.0,25171000000.0,V,Financials,0.50145,0.2013309644975759,0.2526523934274845,0.0335940951793279,27.13873437119982,Large,2.433721453117371,1.9833571286692357,-0.3465692208689188,4.763647802655525
TXN,209242701824,42.16881,17682000000.0,5001000000.0,34585000000.0,14048000000.0,TXN,Information Technology,0.2828299966067187,0.1446002602284227,0.406187653607055,0.0237142096255502,26.066760667925195,Large,0.8655123419452814,1.1269976008772749,0.5483681557731842,1.444141787049372
MOS,7809492480,14.452941,12052400000.0,540700000.0,24480100000.0,5279500000.0,MOS,Materials,0.0448624340380339,0.0220873280746402,0.2156649686888534,0.0691900700348808,22.778605815331822,Smaller,-0.8414810437985536,-0.7223557269055494,-0.5621641846943181,-1.0016725860097848
TRGP,50621145088,27.705883,17028300000.0,1923000000.0,25218400000.0,17522000000.0,TRGP,Energy,0.1129296524021775,0.0762538463978682,0.6948101386289376,0.0360934174160773,24.647635213063957,Mid,-0.35321999561456713,0.09529698252214054,2.2307116727171685,-2.488634685809595
ZBRA,11532010496,28.658922,5396000000.0,419000000.0,8502000000.0,2697000000.0,ZBRA,Information Technology,0.0776501111934766,0.0492825217595859,0.3172194777699365,0.0348931477604077,23.168392526885174,Smaller,-0.6062878627023245,-0.31183970172526404,0.029784048153984586,-0.9479116125815732
CCL,40473776128,12.872247,26621000000.0,2760000000.0,51687000000.0,27993000000.0,CCL,Consumer Discretionary,0.1036775478006085,0.0533983400081258,0.541586859365024,0.0776865142503869,24.423920098325947,Mid,-0.4195873659763573,-0.249710732638701,1.3375927928939322,-2.0068908915089905
BRO,23053244416,21.43038,5763000000.0,1054000000.0,29991000000.0,7918000000.0,BRO,Financials,0.1828908554572271,0.0351438764962822,0.2640125370944616,0.0466627283323954,23.86107235205877,Smaller,0.1486270190985486,-0.525264931277443,-0.28035239771239256,-0.09628551446650185
TPL,29133320192,60.628407,798190000.0,481376000.0,1623278000.0,16175000.0,TPL,Energy,0.6030844786329069,0.2965456317402195,0.0099644053575542,0.0164939184366166,24.09514837986417,Mid,3.1627678026164587,3.420638553767187,-1.7611664354229797,8.344572791806627
ALGN,13612295168,33.64071,4034964000.0,410351000.0,6233693000.0,114446000.0,ALGN,Health Care,0.1016988007823613,0.0658279129241687,0.0183592615164076,0.029725888662873,23.33423927774609,Smaller,-0.4337813512227011,-0.06208423777732973,-1.7122338935475485,1.2163683045475175
INCY,19467595776,15.26053,5141242000.0,1286650000.0,6957973000.0,40412000.0,INCY,Health Care,0.2502605401574172,0.1849173602714468,0.0058080133395171,0.065528523583388,23.692017165192706,Smaller,0.6318845057136823,1.7355910107348451,-1.7853935124121212,4.152869028860648
STLD,29022842880,25.07134,18176581000.0,1185595000.0,16419780000.0,4211163000.0,STLD,Materials,0.0652265131709863,0.0722052914229057,0.2564689051863058,0.0398861807944848,24.0913490423887,Mid,-0.6954050491903365,0.03418336386953664,-0.3243232624006913,-0.3368984229201085
